16-05-2018 08:00:57:008;zatrzymanie na swiatlach
16-05-2018 08:01:06:218;skret w lewo
16-05-2018 08:01:28:188;hamowanie
16-05-2018 08:03:39:147;przyspieszanie na swiatlach
16-05-2018 08:05:02:316;skret w lewo
16-05-2018 08:05:13:723;zmiana pasa na prawy
16-05-2018 08:05:22:697;hamowanie
16-05-2018 08:05:54:584;zmiana pasa na prawy
16-05-2018 08:11:17:879;skret w prawo
16-05-2018 08:11:27:723;zatrzymanie na swiatlach
16-05-2018 08:11:42:283;przyspieszanie na swiatlach
16-05-2018 08:12:18:327;hamowanie
16-05-2018 08:12:42:897;hamowanie
16-05-2018 08:12:53:117;zatrzymanie na swiatlach
16-05-2018 08:13:28:411;przyspieszanie na swiatlach
16-05-2018 08:14:20:951;zatrzymanie na swiatlach
16-05-2018 08:15:25:335;hamowanie
16-05-2018 08:15:41:278;zatrzymanie na swiatlach
16-05-2018 08:16:00:368;przyspieszanie na swiatlach
16-05-2018 08:16:33:244;zatrzymanie na swiatlach
16-05-2018 08:17:27:386;przyspieszanie na swiatlach
16-05-2018 08:17:58:834;hamowanie
16-05-2018 08:18:18:005;hamowanie
16-05-2018 08:19:11:647;przyspieszanie na swiatlach
16-05-2018 08:20:24:610;zatrzymanie na swiatlach
16-05-2018 08:20:39:958;zatrzymanie na swiatlach
16-05-2018 08:20:41:134;przyspieszanie na swiatlach
16-05-2018 08:22:16:491;zatrzymanie na swiatlach
16-05-2018 08:23:17:736;skret w prawo
16-05-2018 08:23:24:779;zatrzymanie na swiatlach
16-05-2018 08:23:44:211;przyspieszanie na swiatlach
16-05-2018 08:23:56:010;zmiana pasa na lewy
16-05-2018 08:24:15:689;zmiana pasa na lewy
16-05-2018 08:24:32:939;skret w lewo
16-05-2018 08:24:44:309;zatrzymanie na swiatlach
16-05-2018 08:24:53:158;zmiana pasa na lewy
16-05-2018 08:24:57:716;przyspieszanie na swiatlach
16-05-2018 08:25:50:765;hamowanie
16-05-2018 08:26:13:181;zatrzymanie na swiatlach
16-05-2018 08:27:11:491;przyspieszanie na swiatlach
16-05-2018 08:27:54:577;skret w prawo
16-05-2018 08:28:43:683;zmiana pasa na lewy
16-05-2018 08:28:48:083;hamowanie
16-05-2018 08:29:09:604;zmiana pasa na prawy
16-05-2018 08:29:41:109;zatrzymanie na swiatlach
16-05-2018 08:30:03:450;przyspieszanie na swiatlach
16-05-2018 08:30:16:352;zmiana pasa na lewy
16-05-2018 08:30:26:237;zmiana pasa na prawy
16-05-2018 08:30:35:932;zatrzymanie na swiatlach
16-05-2018 08:31:03:996;przyspieszanie na swiatlach
16-05-2018 08:31:53:240;zatrzymanie na swiatlach
16-05-2018 08:32:23:648;przyspieszanie na swiatlach
16-05-2018 08:33:03:068;zmiana pasa na prawy
16-05-2018 08:33:07:019;hamowanie
16-05-2018 08:33:18:321;zatrzymanie na swiatlach
16-05-2018 08:34:06:796;skret w prawo
16-05-2018 08:34:18:960;zatrzymanie na swiatlach
