13-05-2018 15:21:46:094;hamowanie
13-05-2018 15:22:19:583;skret w prawo
13-05-2018 15:22:55:572;hamowanie
13-05-2018 15:23:44:270;hamowanie
13-05-2018 15:26:19:838;skret w prawo
13-05-2018 15:26:38:940;hamowanie
13-05-2018 15:27:00:395;skret w prawo
13-05-2018 15:27:15:896;skret w lewo
13-05-2018 15:27:39:044;hamowanie
13-05-2018 15:28:14:109;skret w lewo
13-05-2018 15:28:31:508;hamowanie
13-05-2018 15:28:40:337;skret w prawo
13-05-2018 15:29:00:279;hamowanie
13-05-2018 15:29:11:303;przyspieszanie na swiatlach
13-05-2018 15:30:38:592;skret w lewo
13-05-2018 15:30:48:762;skret w prawo
13-05-2018 15:31:06:138;skret w lewo
13-05-2018 15:31:22:131;skret w lewo
13-05-2018 15:31:31:147;skret w prawo
