12-05-2018 15:59:16:227;hamowanie
12-05-2018 15:59:43:671;przyspieszanie na swiatlach
12-05-2018 16:00:05:956;skret w prawo
12-05-2018 16:01:49:964;zatrzymanie na swiatlach
12-05-2018 16:02:11:827;skret w lewo
12-05-2018 16:03:18:043;zatrzymanie na swiatlach
12-05-2018 16:03:47:162;przyspieszanie na swiatlach
12-05-2018 16:04:02:851;skret w lewo
12-05-2018 16:04:36:691;zatrzymanie na swiatlach
12-05-2018 16:05:09:951;przyspieszanie na swiatlach
12-05-2018 16:05:32:317;zatrzymanie na swiatlach
12-05-2018 16:05:55:506;przyspieszanie na swiatlach
12-05-2018 16:06:31:843;zmiana pasa na prawy
12-05-2018 16:07:55:470;hamowanie
12-05-2018 16:09:09:147;hamowanie
12-05-2018 16:09:26:861;zmiana pasa na prawy
12-05-2018 16:09:41:474;skret w prawo
12-05-2018 16:10:08:962;zmiana pasa na lewy
12-05-2018 16:12:58:354;zmiana pasa na lewy
12-05-2018 16:13:50:750;zmiana pasa na prawy
12-05-2018 16:14:36:415;zmiana pasa na lewy
12-05-2018 16:15:03:035;zmiana pasa na prawy
12-05-2018 16:16:35:325;zmiana pasa na lewy
12-05-2018 16:17:08:665;hamowanie
12-05-2018 16:17:21:107;zmiana pasa na prawy
12-05-2018 16:17:56:518;zmiana pasa na lewy
12-05-2018 16:18:15:638;zmiana pasa na prawy
12-05-2018 16:19:19:672;zmiana pasa na lewy
12-05-2018 16:21:25:916;zmiana pasa na lewy
12-05-2018 16:21:35:912;zmiana pasa na prawy
12-05-2018 16:21:53:579;zmiana pasa na lewy
12-05-2018 16:23:26:346;zmiana pasa na prawy
12-05-2018 16:27:24:531;zmiana pasa na lewy
12-05-2018 16:27:31:921;zmiana pasa na prawy
12-05-2018 16:28:51:577;zmiana pasa na lewy
12-05-2018 16:29:20:351;zmiana pasa na prawy
12-05-2018 16:29:46:111;zmiana pasa na lewy
12-05-2018 16:29:57:897;zmiana pasa na prawy
12-05-2018 16:31:01:837;zmiana pasa na lewy
12-05-2018 16:31:15:915;zmiana pasa na prawy
12-05-2018 16:31:32:936;skret w prawo
12-05-2018 16:31:40:613;hamowanie
